Lineage,Round,Mother.ID,Cohort num,Collection Date,Hatch Date,NextClutch,Mother.length.mm,Eggsac.area.mm2,Offspring.Count,egg1,egg2,egg3,egg4,egg5,egg6,egg7,egg8,egg9,egg10,larva1,larva2,larva3,larva4,larva5,larva6,larva7,larva8,larva9,larva10
11,1,12,3,21/04/2020,24/04/2020,,0.736,0.0555,10,0.0474,0.0453,0.0535,0.0524,0.046,0.045,0.0558,0.0451,0.0516,0.0349,0.0708,0.1009,0.0994,0.1079,0.1049,0.1025,0.0976,0.105,0.1007,0.1061
11,1,16,1,15/04/2020,25/04/2020,4,0.8023,0.0212,0,0.0433,0.0458,0.0495,,,,,,,,,,,,,,,,,
11,1,16,2,27/04/2020,29/04/2020,4,0.7263,0.0307,5,0.0476,0.0444,0.0555,0.0469,0.0629,0.0555,0.0381,0.0522,0.0509,,0.0989,0.0955,,,,,,,,
11,1,16,3,30/04/2020,3/05/2020,,0.7227,0.0231,15,0.0532,0.0533,0.0534,0.0474,0.0515,0.0498,0.0448,0.0582,0.0485,0.0494,0.1243,0.1281,0.1257,0.137,0.123,0.1217,0.128,0.1267,0.1247,0.1311
11,1,17,1,17/04/2020,19/04/2020,3,0.8037,0.0354,15,0.0448,0.0528,0.0404,0.0426,0.0465,0.0502,0.04,0.0503,0.0564,0.0463,0.1053,0.1114,0.1088,0.1028,0.1073,0.1072,0.1137,0.1142,0.1086,0.1047
11,1,17,2,20/04/2020,22/04/2020,4,0.7705,0.0183,31,0.0532,0.054,0.0486,0.0508,0.045,0.0453,0.0446,0.0408,,,0.1139,0.103,0.1185,0.1097,0.1181,0.1172,0.0952,0.1172,0.1035,0.1198
11,1,17,3,24/04/2020,26/04/2020,4,0.7774,0.0321,18,0.0504,0.0597,0.0544,0.0623,0.0493,0.0389,0.0636,0.054,,,0.1092,0.0999,0.1046,0.1085,0.1024,0.1031,0.106,0.1022,0.1004,0.1026
11,1,17,4,28/04/2020,30/04/2020,,0.7926,0.014,0,0.0353,0.0424,0.034,0.039,,,,,,,,,,,,,,,,
11,1,20,1,18/04/2020,20/04/2020,3,0.7658,0.0652,31,0.0498,0.047,0.0524,0.051,0.0505,0.0542,0.0461,0.0582,0.0494,0.0533,0.1034,0.1046,0.1048,0.1063,0.1007,0.0968,0.1008,0.102,0.104,0.0988
11,1,20,2,21/04/2020,23/04/2020,5,0.7766,0.0641,41,0.0556,0.0424,0.0612,0.049,0.0501,0.0424,0.0501,0.0555,0.0449,0.0519,0.0977,0.0948,0.0985,0.1015,0.0997,0.0977,0.1041,0.0999,0.1018,0.0987
11,1,20,3,26/04/2020,28/04/2020,3,0.7177,0.0336,2,0.0429,0.0453,0.0376,0.0434,0.0454,0.0381,0.0438,0.0454,0.0432,0.037,0.0612,0.0611,,,,,,,,
11,1,20,4,29/04/2020,1/05/2020,4,0.7785,0.0326,4,0.0374,0.0407,0.0315,0.0374,0.0364,0.0395,0.0314,0.0372,0.0337,0.0309,0.0772,,,,,,,,,
11,1,20,5,3/05/2020,5/05/2020,,0.7699,0.0383,23,0.0532,0.0511,0.0529,0.0529,0.0564,0.0524,0.052,0.049,0.0495,0.0517,0.102,0.097,0.0922,0.0994,0.0916,0.099,0.1019,,,
11,1,22,1,19/04/2020,21/04/2020,7,0.7057,0.0612,24,0.0433,0.0427,0.0457,0.0485,0.0464,0.0428,0.0394,0.042,0.046,0.0471,0.1068,0.1112,0.1054,0.103,0.1022,0.103,0.1104,,,
