,lineage,focal.ID,round,treatment,f0.mother,collection.date,sex,size.mm,log size,larvalsize.mm,adult.size.mm,age,gomp,loggomp,resid,var
46,11,16,1,h,g,3/04/2020,f,0.2614,-0.582694417,0.1041,0.672,2,0.197109242,-0.705293013,0.122598596,0.015030416
47,10,20,1,l,h,3/04/2020,f,0.2489,-0.603975103,0.0974,0.749,3,0.241289422,-0.617461716,0.013486613,0.000181889
48,10,22,1,l,h,3/04/2020,f,0.2465,-0.608183076,0.0973,0.804,3,0.241289422,-0.617461716,0.00927864,8.60932E-05
49,15,13,1,h,e,3/04/2020,f,0.2469,-0.60747891,0.0996,0.604,3,0.261086968,-0.583214806,-0.024264104,0.000588747
50,15,14,1,h,e,3/04/2020,f,0.26,-0.585026652,0.1057,0.635,3,0.261086968,-0.583214806,-0.001811846,3.28279E-06
51,15,15,1,h,e,3/04/2020,f,0.2344,-0.630042393,0.1023,0.668,3,0.261086968,-0.583214806,-0.046827587,0.002192823
52,16,5,1,l,b,3/04/2020,f,0.2188,-0.659952682,0.0919,0.71,5,0.355022686,-0.449743895,-0.210208787,0.044187734
53,18,13,1,h,d,3/04/2020,f,0.2526,-0.597566654,0.099,0.767,3,0.261086968,-0.583214806,-0.014351848,0.000205976
54,18,15,1,h,i,3/04/2020,f,0.2383,-0.622875958,0.0939,0.615,4,0.32490345,-0.488245677,-0.134630281,0.018125313
55,13,1,1,h,a,4/04/2020,f,0.2415,-0.617082865,0.1056,0.662,3,0.261086968,-0.583214806,-0.033868059,0.001147045
56,12,17,1,h,h,4/04/2020,f,0.2509,-0.600499339,0.1015,0.66,4,0.32490345,-0.488245677,-0.112253662,0.012600885
57,20,19,1,l,h,4/04/2020,f,0.2659,-0.575281663,0.0977,0.702,3,0.241289422,-0.617461716,0.042180053,0.001779157
58,11,23,1,h,j,4/04/2020,f,0.2295,-0.63921731,0.0997,0.674,4,0.32490345,-0.488245677,-0.150971633,0.022792434
59,16,13,1,l,d,4/04/2020,f,0.2463,-0.608535588,0.1001,0.644,4,0.298862007,-0.524529291,-0.084006297,0.007057058
60,16,19,1,l,g,4/04/2020,f,0.2699,-0.568797115,0.1064,0.658,3,0.241289422,-0.617461716,0.048664601,0.002368243
61,14,5,1,l,b,4/04/2020,f,0.29,-0.537602002,0.0955,0.63,4,0.298862007,-0.524529291,-0.013072711,0.000170896
62,14,7,1,l,c,4/04/2020,f,0.2423,-0.615646586,0.0961,0.584,4,0.298862007,-0.524529291,-0.091117295,0.008302362
63,14,9,1,l,d,4/04/2020,f,0.2495,-0.60292945,0.0932,0.739,3,0.241289422,-0.617461716,0.014532266,0.000211187
64,19,1,1,l,b,4/04/2020,f,0.2511,-0.600153287,0.1034,0.84,5,0.355022686,-0.449743895,-0.150409392,0.022622985
65,2,1,1,l,a,5/04/2020,f,0.2401,-0.61960784,0.0955,0.629,3,0.241289422,-0.617461716,-0.002146124,4.60585E-06
66,2,5,1,l,e,5/04/2020,f,0.2439,-0.6127882,0.0783,0.705,4,0.298862007,-0.524529291,-0.088258909,0.007789635
67,9,18,1,l,g,5/04/2020,f,0.2476,-0.60624936,0.1235,0.713,3,0.241289422,-0.617461716,0.011212356,0.000125717
68,8,10,1,l,d,5/04/2020,f,0.2246,-0.648590248,0.0984,0.65,3,0.241289422,-0.617461716,-0.031128532,0.000968985
69,8,11,1,l,d,5/04/2020,f,0.2621,-0.581532979,0.1111,0.681,3,0.241289422,-0.617461716,0.035928737,0.001290874
70,20,23,1,l,g,5/04/2020,f,0.2535,-0.596022036,0.0979,0.717,5,0.355022686,-0.449743895,-0.146278141,0.021397295
71,6,1,1,h,a,5/04/2020,f,0.2408,-0.618343517,0.0956,0.69,4,0.32490345,-0.488245677,-0.13009784,0.016925448
72,13,11,1,h,b,5/04/2020,f,0.2825,-0.548981548,0.0967,0.734,4,0.32490345,-0.488245677,-0.060735871,0.003688846
73,12,23,1,h,k,6/04/2020,f,0.2513,-0.599807511,0.1061,0.681,3,0.261086968,-0.583214806,-0.016592705,0.000275318
74,20,30,1,l,n,6/04/2020,f,0.2905,-0.536853863,0.1096,0.622,3,0.241289422,-0.617461716,0.080607853,0.006497626
75,14,18,1,l,j,6/04/2020,f,0.2808,-0.551602897,0.1088,0.688,3,0.241289422,-0.617461716,0.065858819,0.004337384
76,19,11,1,l,g,6/04/2020,f,0.2807,-0.551757587,0.1066,0.6796,3,0.241289422,-0.617461716,0.065704129,0.004317033
77,2,19,1,l,d,6/04/2020,f,0.2923,-0.534171185,0.0999,0.646,3,0.241289422,-0.617461716,0.083290531,0.006937313
78,15,25,1,h,i,7/04/2020,f,0.2677,-0.572351629,0.125,0.599,2,0.197109242,-0.705293013,0.132941384,0.017673412
79,6,15,1,h,g,8/04/2020,f,0.2647,-0.577246059,0.0956,0.646,3,0.261086968,-0.583214806,0.005968747,3.56259E-05
80,8,17,1,l,f,8/04/2020,f,0.2812,-0.550984684,0.1019,0.57,3,0.241289422,-0.617461716,0.066477032,0.004419196
81,19,17,2,l,i,4/05/2020,f,0.2648,-0.577082019,0.0985,0.761,4,0.298862007,-0.524529291,-0.052552728,0.002761789
82,8,10,2,l,e,11/05/2020,f,0.2482,-0.605198223,0.0904,0.695,5,0.355022686,-0.449743895,-0.155454328,0.024166048
83,8,14,2,l,f,12/05/2020,f,0.3108,-0.50751899,0.0997,0.837,10,0.568123442,-0.24555729,-0.2619617,0.068623932
84,17,2,2,h,a,3/05/2020,f,0.299,-0.524328812,0.0936,0.829,4,0.32490345,-0.488245677,-0.036083135,0.001301993
85,17,5,2,h,b,4/05/2020,f,0.2818,-0.550059011,0.094,0.666,4,0.32490345,-0.488245677,-0.061813334,0.003820888
